Interval = 1 sec,,,,,,,,,,,
SEQ,TEMPERATURE(0.01 degreeC),HUMIDITY(0.01), AMBIENT LIGHT, BAROMETRIC PRESSURE, SOUND NOISE, eTVOC,eCO2, FLAGnotburn,FLAGburn, FLAGnotburn,FLAGburn
206,2669,6438,97,998713,8283,96,1035,1,0,1,0
207,2670,6444,97,998705,8129,96,1035,1,0,1,0
208,2669,6453,97,998706,8129,96,1035,1,0,1,0
209,2667,6463,97,998706,8158,96,1035,1,0,1,0
210,2669,6462,99,998709,8213,96,1035,1,0,1,0
211,2670,6463,97,998706,8230,96,1035,1,0,1,0
212,2672,6464,97,998706,8449,96,1035,1,0,1,0
213,2674,6462,97,998706,8438,96,1035,1,0,1,0
214,2676,6460,97,998707,8685,96,1035,1,0,1,0
215,2676,6458,97,998707,8582,96,1035,1,0,1,0
216,2678,6459,97,998709,8145,84,954,1,0,1,0
217,2681,6455,97,998712,8025,88,983,1,0,1,0
218,2682,6464,99,998712,8099,88,983,1,0,1,0
219,2685,6467,97,998707,8217,87,977,1,0,1,0
220,2688,6470,97,998706,8144,87,977,1,0,1,0
221,2690,6466,99,998711,8153,87,977,1,0,1,0
222,2691,6460,99,998712,8279,88,983,1,0,1,0
223,2693,6454,99,998708,8192,88,983,1,0,1,0
224,2695,6448,99,998700,8115,87,977,1,0,1,0
225,2697,6447,99,998701,8024,87,977,1,0,1,0
226,2700,6441,99,998703,8064,87,977,1,0,1,0
227,2702,6428,99,998702,8167,88,983,1,0,1,0
228,2703,6408,99,998704,8180,90,997,1,0,1,0
229,2703,6384,99,998699,8157,93,1014,1,0,1,0
230,2704,6354,99,998696,8206,99,1050,1,0,1,0
231,2706,6324,99,998691,7960,99,1050,1,0,1,0
232,2708,6300,99,998691,8020,104,1086,1,0,1,0
233,2712,6280,99,998696,8084,108,1113,1,0,1,0
234,2713,6266,99,998694,8077,110,1128,1,0,1,0
235,2714,6255,99,998689,7994,116,1163,1,0,1,0
236,2716,6236,99,998687,8032,118,1178,1,0,1,0
237,2718,6216,99,998686,8133,122,1204,1,0,1,0
238,2720,6196,99,998682,8105,122,1204,1,0,1,0
239,2721,6183,99,998681,7994,127,1235,1,0,1,0
240,2722,6168,99,998680,8064,130,1255,1,0,1,0
241,2722,6158,99,998679,8150,130,1255,1,0,1,0
242,2722,6147,88,998682,8073,134,1281,1,0,1,0
243,2723,6127,76,998683,8087,134,1281,1,0,1,0
244,2724,6110,76,998681,8013,136,1295,1,0,1,0
245,2725,6093,76,998679,8283,142,1334,1,0,1,0
246,2728,6075,76,998679,8262,144,1349,1,0,1,0
247,2729,6069,76,998676,8294,128,1245,1,0,1,0
248,2728,6069,76,998675,8360,133,1274,1,0,1,0
249,2733,6055,76,998676,8091,133,1274,1,0,1,0
250,2736,6044,85,998676,8064,133,1274,1,0,1,0
251,2737,6033,83,998678,8129,136,1299,1,0,1,0
252,2739,6019,83,998681,8074,136,1299,1,0,1,0
253,2739,6012,83,998678,8044,139,1313,1,0,1,0
254,2738,6010,83,998673,7930,140,1324,1,0,1,0
255,2739,6007,83,998674,7997,140,1324,1,0,1,0
0,2740,6005,85,998672,8136,140,1324,1,0,1,0
1,2740,6012,85,998671,8171,140,1324,1,0,1,0
2,2741,6015,85,998672,8084,140,1324,1,0,1,0
3,2743,6016,76,998673,8083,140,1324,1,0,1,0
4,2743,6017,76,998672,8088,140,1324,1,0,1,0
5,2745,6013,76,998677,8165,143,1345,1,0,1,0
6,2748,6006,76,998677,8042,143,1345,1,0,1,0
7,2748,6006,76,998678,8050,140,1324,1,0,1,0
8,2750,6000,76,998679,8041,140,1324,1,0,1,0
9,2748,6000,76,998681,7988,143,1345,1,0,1,0
10,2747,5996,76,998681,8098,146,1360,1,0,1,0
11,2749,5987,76,998680,8040,146,1360,1,0,1,0
12,2750,5978,76,998677,8091,146,1360,1,0,1,0
13,2754,5963,81,998682,8290,146,1360,1,0,1,0
14,2755,5956,79,998680,8148,152,1404,1,0,1,0
15,2758,5944,76,998678,8050,148,1376,1,0,1,0
16,2758,5941,74,998680,8107,152,1404,1,0,1,0
17,2758,5937,76,998679,7997,152,1404,1,0,1,0
18,2759,5930,79,998682,8082,155,1420,1,0,1,0
19,2758,5926,81,998681,8044,155,1420,1,0,1,0
20,2758,5918,74,998679,8023,155,1420,1,0,1,0
21,2758,5911,76,998676,8132,161,1458,1,0,1,0
22,2758,5910,76,998673,8090,161,1458,1,0,1,0
23,2759,5904,79,998671,8025,161,1458,1,0,1,0
24,2761,5899,79,998673,8055,168,1494,1,0,1,0
25,2761,5898,76,998672,8107,164,1478,1,0,1,0
26,2764,5889,79,998671,7995,161,1458,1,0,1,0
27,2764,5892,79,998670,8036,164,1478,1,0,1,0
28,2765,5894,79,998669,7973,161,1458,1,0,1,0
29,2767,5896,79,998674,8081,164,1478,1,0,1,0
30,2768,5896,79,998674,8052,164,1478,1,0,1,0
31,2770,5890,79,998678,8042,164,1478,1,0,1,0
32,2771,5884,79,998681,8088,164,1478,1,0,1,0
33,2770,5877,79,998681,8116,168,1494,1,0,1,0
34,2769,5872,81,998677,8028,168,1494,1,0,1,0
35,2770,5863,90,998677,8109,170,1497,1,0,1,0
36,2767,5865,85,998671,7997,170,1497,1,0,1,0
37,2770,5862,79,998667,8088,170,1497,1,0,1,0
38,2772,5862,79,998665,8074,170,1497,1,0,1,0
39,2770,5871,79,998667,7999,170,1497,1,0,1,0
40,2774,5866,79,998669,8061,170,1497,1,0,1,0
41,2772,5869,79,998669,7943,172,1501,1,0,1,0
42,2771,5872,79,998663,8132,170,1497,1,0,1,0
43,2771,5871,83,998661,8096,172,1501,1,0,1,0
44,2769,5875,90,998662,8064,170,1497,1,0,1,0
45,2771,5872,90,998667,8127,170,1497,1,0,1,0
46,2772,5867,85,998665,8026,172,1501,1,0,1,0
47,2772,5863,81,998659,8003,172,1501,1,0,1,0
48,2774,5856,88,998659,8138,172,1501,1,0,1,0
49,2776,5851,88,998664,8092,172,1501,1,0,1,0
50,2776,5853,85,998667,8025,170,1497,1,0,1,0
51,2777,5855,83,998667,8050,152,1404,1,0,1,0
52,2774,5869,81,998669,8133,155,1420,1,0,1,0
53,2773,5899,76,998686,8021,152,1404,1,0,1,0
54,2775,5951,79,998696,8099,170,1497,1,0,1,0
55,2774,6044,88,998700,8005,170,1498,1,0,1,0
56,2775,6154,88,998702,8041,148,1376,1,0,1,0
57,2774,6299,81,998708,7953,163,1474,1,0,1,0
58,2775,6443,79,998707,8011,145,1356,1,0,1,0
59,2774,6586,92,998704,8088,155,1420,1,0,1,0
60,2777,6693,90,998702,8158,136,1299,1,0,1,0
61,2780,6726,81,998698,8017,146,1360,1,0,1,0
62,2782,6713,81,998695,8082,127,1238,1,0,1,0
63,2787,6651,85,998690,8055,127,1238,1,0,1,0
64,2790,6576,85,998686,7979,130,1259,1,0,1,0
65,2794,6498,83,998682,8119,132,1270,1,0,1,0
66,2798,6413,88,998675,8039,136,1295,1,0,1,0
67,2805,6313,81,998667,7918,138,1307,1,0,1,0
68,2810,6218,81,998661,8062,145,1352,1,0,1,0
69,2811,6141,81,998661,8029,145,1356,1,0,1,0
70,2813,6079,81,998660,8034,150,1385,1,0,1,0
71,2814,6035,90,998659,8047,155,1420,1,0,1,0
72,2818,5999,90,998656,7997,161,1458,1,0,1,0
73,2821,5977,88,998661,8051,161,1458,1,0,1,0
74,2825,5960,88,998660,8049,158,1441,1,0,1,0
75,2826,5949,88,998657,7946,161,1462,1,0,1,0
76,2828,5942,85,998659,8022,143,1345,1,0,1,0
77,2830,5931,83,998658,7991,160,1453,1,0,1,0
78,2833,5916,81,998654,8087,156,1429,1,0,1,0
79,2833,5910,81,998656,8088,156,1429,1,0,1,0
80,2833,5904,81,998646,8111,156,1425,1,0,1,0
81,2837,5894,81,998644,8063,152,1400,1,0,1,0
82,2837,5898,81,998646,8029,152,1400,1,0,1,0
83,2840,5897,81,998647,8054,152,1400,1,0,1,0
84,2841,5899,81,998648,8280,150,1385,1,0,1,0
85,2843,5898,81,998649,8112,146,1360,1,0,1,0
86,2842,5902,79,998648,8028,146,1360,1,0,1,0
87,2842,5914,83,998652,8096,140,1321,1,0,1,0
88,2841,5936,79,998649,8150,136,1299,1,0,1,0
89,2837,5962,76,998649,8331,140,1321,1,0,1,0
90,2838,5973,81,998646,8243,138,1307,1,0,1,0
91,2838,5975,81,998645,7974,138,1307,1,0,1,0
92,2839,5962,81,998641,8356,140,1321,1,0,1,0
93,2841,5943,88,998637,8056,138,1307,1,0,1,0
94,2840,5924,88,998637,8123,140,1321,1,0,1,0
95,2843,5893,88,998639,7972,138,1307,1,0,1,0
96,2843,5868,90,998640,7976,142,1338,1,0,1,0
97,2846,5837,90,998640,8036,142,1338,1,0,1,0
98,2850,5810,92,998638,8019,144,1349,1,0,1,0
99,2849,5801,90,998639,8020,144,1349,1,0,1,0
100,2850,5794,92,998641,8095,146,1364,1,0,1,0
101,2849,5800,83,998642,8036,144,1349,1,0,1,0
102,2848,5813,85,998639,8140,140,1324,1,0,1,0
103,2850,5824,85,998640,8054,140,1324,1,0,1,0
104,2849,5844,83,998640,8045,138,1310,1,0,1,0
105,2849,5867,83,998638,7947,138,1310,1,0,1,0
106,2850,5884,88,998636,8087,136,1295,1,0,1,0
107,2851,5897,88,998635,8009,136,1295,1,0,1,0
108,2853,5896,90,998632,8018,131,1262,1,0,1,0
109,2852,5885,99,998631,8165,131,1262,1,0,1,0
110,2851,5872,106,998630,8028,134,1285,1,0,1,0
111,2850,5854,106,998632,8192,134,1285,1,0,1,0
112,2849,5836,106,998627,8157,142,1334,1,0,1,0
113,2849,5813,106,998630,8212,138,1310,1,0,1,0
114,2850,5787,106,998630,8002,142,1334,1,0,1,0
115,2851,5764,106,998628,8060,146,1364,0,1,0,1
116,2851,5746,106,998621,8078,146,1364,0,1,0,1
117,2854,5733,106,998623,8270,146,1364,0,1,0,1
118,2855,5729,106,998625,8059,146,1364,0,1,0,1
119,2854,5733,106,998629,8172,149,1380,0,1,0,1
120,2856,5731,104,998630,8255,149,1380,0,1,0,1
121,2855,5731,104,998629,7983,149,1380,0,1,0,1
122,2855,5727,104,998628,8048,152,1404,0,1,0,1
123,2855,5718,104,998624,8009,152,1404,0,1,0,1
124,2853,5711,106,998627,8046,155,1420,0,1,0,1
125,2852,5699,106,998627,8133,155,1420,0,1,0,1
126,2851,5687,106,998625,8151,159,1445,0,1,0,1
127,2852,5672,106,998624,8176,162,1465,0,1,0,1
128,2852,5659,106,998621,8045,159,1445,0,1,0,1
129,2852,5648,106,998620,8062,164,1478,0,1,0,1
130,2855,5633,106,998621,8170,161,1462,0,1,0,1
131,2854,5627,106,998623,8279,164,1478,0,1,0,1
132,2856,5613,106,998622,8128,164,1478,0,1,0,1
133,2854,5612,106,998622,8136,167,1499,0,1,0,1
134,2851,5616,106,998619,8265,171,1499,0,1,0,1
135,2848,5620,104,998621,8251,167,1499,0,1,0,1
136,2845,5628,104,998623,8245,167,1499,0,1,0,1
137,2843,5631,104,998622,8093,171,1499,0,1,0,1
138,2840,5636,104,998616,8031,174,1504,0,1,0,1
139,2842,5633,104,998617,8122,168,1494,0,1,0,1
140,2842,5634,106,998617,8328,164,1478,0,1,0,1
141,2842,5637,106,998614,8136,168,1494,0,1,0,1
142,2844,5633,106,998616,8103,168,1494,0,1,0,1
143,2841,5641,106,998617,8137,168,1494,0,1,0,1
144,2841,5645,106,998613,8297,168,1494,0,1,0,1
145,2840,5648,106,998612,8147,168,1494,0,1,0,1
146,2837,5657,106,998612,8068,168,1494,0,1,0,1
147,2838,5657,106,998606,8164,168,1494,0,1,0,1
148,2840,5655,106,998606,8154,168,1494,0,1,0,1
149,2838,5659,104,998609,8161,168,1494,0,1,0,1
150,2841,5651,106,998606,8184,168,1494,0,1,0,1
